,MAE,MSE,RMSE,MAPE,R2
AAPL,2.254031405160371,7.934561655702398,2.8168353973390774,0.010238307387227929,0.9675802480438487
AMZN,1.3949517126306885,4.154043844205145,2.0381471596048075,0.007223599876503396,0.978429416342786
GOOGL,0.6064821932440078,3.7832022962792387,1.945045576915677,0.0037907030017351644,0.9652994262408283
MSFT,6.438457914647964,95.78495151880584,9.78697867162312,0.015514093766085622,0.3182311348257677
NVDA,1.8207029943514563,28.987162234238642,5.383972718563741,0.019991057726422328,0.9467024370603844
